CookerStat, GenerateAssetRegistry=0.042897, Initialize=1.175802, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_240A6547476A100DF598F09D84E90AC7__1_0_13123_0, StartTime=2022.04.15-16.10.10, HierarchicalDDC=, DataSize=347, Duration=7.626400, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A00CEF4044155B45921C419576AFC77C__1_0_13123_0, StartTime=2022.04.15-16.10.10, HierarchicalDDC=, DataSize=513, Duration=6.751001, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DAFF600F47AE2FA1494FEA8817A042C7__1_0_13123_0, StartTime=2022.04.15-16.10.10, HierarchicalDDC=, DataSize=347, Duration=6.761600, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97E3F3DF4C49B83876B867B3B4D38FDA__1_0_13123_0, StartTime=2022.04.15-16.10.10, HierarchicalDDC=, DataSize=347, Duration=6.137397, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_31BB22C74BFE21BF56E2A4A0D0DE75F9__1_0_13123_0, StartTime=2022.04.15-16.10.10, HierarchicalDDC=, DataSize=347, Duration=7.448301, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C249B56D454FD28A56DA0CA5905230EC__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=7.270999, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C7781A3B446F61A211F001858930E075__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=7.361200, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EFF5609441A2F86782EE9EBBE063B22A__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=8.081801, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98B012C845FECEE44083B389133DF67C__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=8.110199, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C6D624CF4FA5A8706C69BB93999256D4__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=6.330702, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_69AA7A504A37E3BED706C2AEB25773DE__1_0_13123_0, StartTime=2022.04.15-16.10.15, HierarchicalDDC=, DataSize=347, Duration=7.849202, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC9BC066476DB6EE677AEE847B6DB23C__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.883597, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_603463C2491553385C3CE19DAFE0A942__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.613398, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CE29D5D4449AE43B423B428B556AC8F1__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.612199, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FDECC2C74281B761835A6E9465ED64B5__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=8.860398, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3809EC6A41901331EC64B7B6567E61DD__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=8.028999, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6CB13FB84DFBA24A3639C4AC34A87E57__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=513, Duration=7.801298, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68915B0146F774A74F4E04A44A0275E9__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.921998, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B58F1A304ED811FBF2EC5D89B378D870__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.583100, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D46A69C84B513BB65BD422B084ECF55C__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.700700, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E28EB1114CA2CAD928CCFFB5FB86CE46__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=5.994801, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_876FC9624474D7998C3CE5B37226E749__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.097501, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10E944624BA99BFF9A42258683584CDF__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.067200, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EBD66C2C4FA35896924B74BC1950A149__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=6.852601, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F022CDDA47F9D1A7A30780BFE9C1E94E__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=8.527703, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6ACAFE9C4D9FD209B794378CE5ADDE99__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=513, Duration=10.111399, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_010635B2419C359B8C2770ADA393FC2D__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=7.423602, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_398DBBAA457F3E633A7C1181E39CDF96__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=9.267799, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86A2193E4EEC4B955EC6F2BBB39D8296__1_0_13123_0, StartTime=2022.04.15-16.12.09, HierarchicalDDC=, DataSize=347, Duration=9.349301, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A1DFB94B47AD6117D3B9E9B8ADDF9872__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=6.572302, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90E3801F4B8E230A21590EAA5497BABA__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=5.516600, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F23DBFE4DE4F87622FB9887E7DF27DE__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=7.550199, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD9853D4432B5D0ECFDF579E4CD02297__1_0_13123_0, StartTime=2022.04.15-16.12.19, HierarchicalDDC=, DataSize=347, Duration=6.281998, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
